"filename", "language", "Python", "Markdown", "TOML", "Ini", "comment", "blank", "total"
"/Users/zoltantakacs/_code/py/artegame/src/global_routines/interact.py", "Python", 40, 0, 0, 0, 0, 26, 66
"/Users/zoltantakacs/_code/py/artegame/src/global_routines/menus.py", "Python", 57, 0, 0, 0, 2, 27, 86
"/Users/zoltantakacs/_code/py/artegame/src/global_routines/projectiles.py", "Python", 160, 0, 0, 0, 10, 26, 196
"/Users/zoltantakacs/_code/py/artegame/src/global_routines/round_manager.py", "Python", 133, 0, 0, 0, 2, 33, 168
"/Users/zoltantakacs/_code/py/artegame/src/global_routines/sounds.py", "Python", 36, 0, 0, 0, 0, 19, 55
"/Users/zoltantakacs/_code/py/artegame/src/global_routines/spells.py", "Python", 121, 0, 0, 0, 1, 47, 169
"/Users/zoltantakacs/_code/py/artegame/src/scenes/default/routines/conf.py", "Python", 9, 0, 0, 0, 5, 4, 18
"/Users/zoltantakacs/_code/py/artegame/src/scenes/default/routines/main.py", "Python", 13, 0, 0, 0, 6, 6, 25
"/Users/zoltantakacs/_code/py/artegame/src/scenes/default/ui/index.py", "Python", 84, 0, 0, 0, 12, 14, 110
"/Users/zoltantakacs/_code/py/artegame/src/scenes/defeat/routines/conf.py", "Python", 9, 0, 0, 0, 5, 4, 18
"/Users/zoltantakacs/_code/py/artegame/src/scenes/defeat/routines/main.py", "Python", 13, 0, 0, 0, 6, 6, 25
"/Users/zoltantakacs/_code/py/artegame/src/scenes/defeat/ui/index.py", "Python", 106, 0, 0, 0, 10, 14, 130
"/Users/zoltantakacs/_code/py/artegame/src/scenes/game/routines/conf.py", "Python", 298, 0, 0, 0, 109, 13, 420
"/Users/zoltantakacs/_code/py/artegame/src/scenes/game/routines/main.py", "Python", 24, 0, 0, 0, 7, 7, 38
"/Users/zoltantakacs/_code/py/artegame/src/scenes/game/routines/player.py", "Python", 472, 0, 0, 0, 51, 129, 652
"/Users/zoltantakacs/_code/py/artegame/src/scenes/game/ui/index.py", "Python", 503, 0, 0, 0, 29, 15, 547
"Total", "-", 6346, 53, 9, 29, 668, 1851, 8956
